algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,17814,8.89010503101895e-07,15.09802,17831,9,18,45,1,1e-06,0.829,1,0.8942234
FDA subspace,-1,13402,8.95561216603374e-07,10.9177955,40221,9,18,45,3,1e-06,0.829,1,0.8942234
TR subspace,13.4858821774066,8473,9.03506477919774e-07,8.3051542,8490,9,18,45,1,1e-06,0.4885,1,0.8942234
TR subspace,13.4858821743516,7424,9.72402943878448e-07,4.4608188,22287,9,18,45,3,1e-06,0.4885,1,0.8942234
TR KSchur,13.4858821863056,2982,9.61874669060862e-08,7.8594439,80721,9,18,45,1,1e-06,0.488666666666667,1,0.8942234
TR KSchur,13.4858821848966,10706,8.64589132320497e-07,19.753514,289269,9,18,45,3,1e-06,0.488666666666667,1,0.8942234
FDA subspace,-1,147,9.42052199435586e-07,0.0768481,164,9,18,45,1,1e-06,0.8105,1,0.4498096
FDA subspace,-1,50,9.40022954216885e-07,0.0264417,165,9,18,45,3,1e-06,0.8105,1,0.4498096
TR subspace,5.14127269765526,7585,9.92675340430311e-07,4.025493,7602,9,18,45,1,1e-06,0.599333333333333,1,0.4498096
TR subspace,5.14127269789632,6795,9.97158033815552e-07,3.84462,20400,9,18,45,3,1e-06,0.599333333333333,1,0.4498096
TR KSchur,5.14127269839338,1332,9.77569135615404e-08,3.3693303,36081,9,18,45,1,1e-06,0.599333333333333,1,0.4498096
TR KSchur,5.1412726983919,4991,1.11922949421837e-07,8.4076437,134874,9,18,45,3,1e-06,0.599333333333333,1,0.4498096
FDA subspace,-1,18192,9.14200502279324e-07,8.8392838,18209,9,18,45,1,1e-06,0.826666666666667,2,0.4531716
FDA subspace,-1,25857,9.45612336070137e-07,13.3283553,77586,9,18,45,3,1e-06,0.826666666666667,2,0.4531716
TR subspace,13.4953799222374,8962,9.27177766357392e-07,5.0257984,8979,9,18,45,1,1e-06,0.4775,2,0.4531716
TR subspace,13.4953799209301,7146,9.85156488427912e-07,4.297036,21453,9,18,45,3,1e-06,0.477333333333333,2,0.4531716
TR KSchur,13.4953799349519,3080,9.29433312030466e-08,7.6162757,83367,9,18,45,1,1e-06,0.477333333333333,2,0.4531716
TR KSchur,13.4953799347642,10024,3.27352981312663e-07,17.0143805,270855,9,18,45,3,1e-06,0.477333333333333,2,0.4531716
