algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,206,9.97057956263223e-07,3.1909718,225,10,20,50,1,1e-06,0.831122448979592,1,11.0849617
FDA subspace,-1,42,9.04880363527465e-07,0.7482708,225,10,20,50,5,1e-06,0.831122448979592,1,11.0849617
TR subspace,9.48623428411535,542,9.99117412593861e-07,8.1902173,561,10,20,50,1,1e-06,0.7375,1,11.0849617
TR subspace,9.48623428412178,302,7.59796061462603e-07,5.3747237,1429,10,20,50,5,1e-06,0.7375,1,11.0849617
TR KSchur,9.48623428412287,31,1.34249598618584e-07,11.1010176,1040,10,20,50,1,1e-06,0.7375,1,11.0849617
TR KSchur,9.48623428412166,370,6.55424889832087e-07,30.5729782,11290,10,20,50,5,1e-06,0.7375,1,11.0849617
FDA subspace,-1,300,9.40634859766493e-07,5.8044742,339,20,40,100,1,1e-06,0.922704081632653,1,11.0849617
FDA subspace,-1,61,8.96281444360687e-07,1.3605309,340,20,40,100,5,1e-06,0.922704081632653,1,11.0849617
TR subspace,6.12874144811635,1611,9.98369422527492e-07,31.5091268,1650,20,40,100,1,1e-06,0.920408163265306,1,11.0849617
TR subspace,6.12874144813367,611,9.19264253758651e-07,13.6507089,3090,20,40,100,5,1e-06,0.920408163265306,1,11.0849617
TR KSchur,6.12874144815175,40,2.11370433415753e-08,29.5140465,2620,20,40,100,1,1e-06,0.920408163265306,1,11.0849617
TR KSchur,6.12874144815073,118,3.0478743818348e-07,19.5843359,7300,20,40,100,5,1e-06,0.920408163265306,1,11.0849617
FDA subspace,-1,361,9.64239121680125e-07,9.3307798,420,30,60,150,1,1e-06,0.95,1,11.0849617
FDA subspace,-1,73,8.82943541947133e-07,2.1605117,420,30,60,150,5,1e-06,0.95,1,11.0849617
TR subspace,4.6299738273724,4573,9.75337493816843e-07,121.0802015,4632,30,60,150,1,1e-06,0.939285714285714,1,11.0849617
TR subspace,4.62997382731501,2143,8.96856133441627e-07,63.3994047,10770,30,60,150,5,1e-06,0.939285714285714,1,11.0849617
TR KSchur,4.62997382760696,69,5.05516819048807e-08,80.6679207,6540,30,60,150,1,1e-06,0.939285714285714,1,11.0849617
TR KSchur,4.6299738275856,405,5.00926442924034e-07,103.7669103,36840,30,60,150,5,1e-06,0.939285714285714,1,11.0849617
