algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,216,9.54234194901044e-07,14.1101185,235,10,20,50,1,1e-06,0.814540816326531,1,66.1878739
FDA subspace,-1,46,9.01074598822259e-07,4.1614908,245,10,20,50,5,1e-06,0.814540816326531,1,66.1878739
TR subspace,9.91915511220266,507,9.79102968750148e-07,32.8024975,526,10,20,50,1,1e-06,0.747704081632653,1,66.1878739
TR subspace,9.91915511220561,160,8.69945309917073e-07,14.5457703,775,10,20,50,5,1e-06,0.747704081632653,1,66.1878739
TR KSchur,9.91915511220761,25,1.80765337978298e-07,47.6379617,860,10,20,50,1,1e-06,0.747704081632653,1,66.1878739
TR KSchur,9.91915511220708,116,5.12922065388298e-07,58.4929731,3590,10,20,50,5,1e-06,0.747704081632653,1,66.1878739
FDA subspace,-1,333,9.33618252908064e-07,25.545731,372,20,40,100,1,1e-06,0.906122448979592,1,66.1878739
FDA subspace,-1,68,9.7334455271144e-07,7.1135963,375,20,40,100,5,1e-06,0.906122448979592,1,66.1878739
TR subspace,6.3587497305734,1249,9.79304676678555e-07,98.331449,1288,20,40,100,1,1e-06,0.915051020408163,1,66.1878739
TR subspace,6.35874973059479,333,9.02340656103607e-07,34.6190901,1700,20,40,100,5,1e-06,0.915051020408163,1,66.1878739
TR KSchur,6.3587497305994,27,2.89400884035604e-08,105.847965,1840,20,40,100,1,1e-06,0.915051020408163,1,66.1878739
TR KSchur,6.35874973059907,93,3.08509582264756e-07,96.9268272,5840,20,40,100,5,1e-06,0.915051020408163,1,66.1878739
FDA subspace,-1,424,9.78270300160191e-07,37.8762786,483,30,60,150,1,1e-06,0.931632653061224,1,66.1878739
FDA subspace,-1,86,8.41552643187916e-07,9.8931077,485,30,60,150,5,1e-06,0.931632653061224,1,66.1878739
TR subspace,4.78706794994307,2512,9.91144764882485e-07,232.3040988,2571,30,60,150,1,1e-06,0.941326530612245,1,66.1878739
TR subspace,4.78706794999147,665,8.73087666491796e-07,80.7254735,3380,30,60,150,5,1e-06,0.941326530612245,1,66.1878739
TR KSchur,4.78706795001706,31,6.37459474846046e-08,187.9770383,3120,30,60,150,1,1e-06,0.941326530612245,1,66.1878739
TR KSchur,4.78706795001658,92,2.38012255225741e-07,149.3153887,8610,30,60,150,5,1e-06,0.941326530612245,1,66.1878739
FDA subspace,-1,217,9.8900349789795e-07,15.1017933,236,10,20,50,1,1e-06,0.820453965825045,2,68.1294904
FDA subspace,-1,46,6.98644189630723e-07,4.4677673,245,10,20,50,5,1e-06,0.820453965825045,2,68.1294904
TR subspace,9.93821931324423,502,9.55769773480231e-07,34.8728051,521,10,20,50,1,1e-06,0.756184646773782,2,68.1294904
TR subspace,9.93821931324775,179,9.66353972727741e-07,17.3680324,865,10,20,50,5,1e-06,0.756184646773782,2,68.1294904
TR KSchur,9.93821931324979,25,1.89915882802709e-07,50.3281354,860,10,20,50,1,1e-06,0.756184646773782,2,68.1294904
TR KSchur,9.93821931324796,655,9.31253955229094e-07,344.0100609,20100,10,20,50,5,1e-06,0.756184646773782,2,68.1294904
FDA subspace,-1,332,9.419186408597e-07,27.2555906,371,20,40,100,1,1e-06,0.907421576128539,2,68.1294904
FDA subspace,-1,68,9.23176716581258e-07,7.4628809,375,20,40,100,5,1e-06,0.907421576128539,2,68.1294904
TR subspace,6.36745302093564,1255,9.92705657103544e-07,105.1083491,1294,20,40,100,1,1e-06,0.921703647028819,2,68.1294904
TR subspace,6.36745302095721,338,9.11587440446712e-07,37.3052843,1725,20,40,100,5,1e-06,0.921703647028819,2,68.1294904
