algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,19,6.24434759744454e-07,7.2895447,22,2,4,8,1,1e-06,0.844333333333333,1,1.5496097
FDA subspace,-1,10,8.87913983219118e-07,3.9706401,22,2,4,8,2,1e-06,0.844333333333333,1,1.5496097
TR subspace,1.42085233869073,21,8.13680042592692e-07,8.052605,24,2,4,8,1,1e-06,0.844,1,1.5496097
TR subspace,1.42085233869093,10,5.89877627168511e-07,3.9695285,22,2,4,8,2,1e-06,0.844,1,1.5496097
TR KSchur,1.42085233869122,13,2.92181167180144e-09,26.2521217,70,2,4,8,1,1e-06,0.844,1,1.5496097
TR KSchur,1.42085233869121,21,1.07975203297479e-07,19.8036187,102,2,4,8,2,1e-06,0.844,1,1.5496097
FDA subspace,-1,19,5.77829235278554e-07,7.3042085,22,2,4,8,1,1e-06,0.846,2,1.8753899
FDA subspace,-1,10,6.95500187971918e-07,3.9624735,22,2,4,8,2,1e-06,0.846,2,1.8753899
TR subspace,1.41058819216984,22,4.10577501137059e-07,8.4030516,25,2,4,8,1,1e-06,0.846,2,1.8753899
TR subspace,1.41058819216963,10,6.0457000655138e-07,3.960528,22,2,4,8,2,1e-06,0.846,2,1.8753899
TR KSchur,1.41058819216994,13,5.10177291321861e-09,25.9239508,70,2,4,8,1,1e-06,0.846,2,1.8753899
TR KSchur,1.41058819216994,21,1.06402479042339e-07,19.5909531,102,2,4,8,2,1e-06,0.846,2,1.8753899
FDA subspace,-1,19,5.77829235278554e-07,7.3706111,22,2,4,8,1,1e-06,0.846,3,1.7763627
FDA subspace,-1,10,6.95500187971918e-07,3.9440314,22,2,4,8,2,1e-06,0.846,3,1.7763627
TR subspace,1.41058819216984,22,4.10577501137059e-07,8.3976002,25,2,4,8,1,1e-06,0.846,3,1.7763627
TR subspace,1.41058819216963,10,6.0457000655138e-07,3.9848465,22,2,4,8,2,1e-06,0.846,3,1.7763627
TR KSchur,1.41058819216994,13,5.10177291321861e-09,25.8941196,70,2,4,8,1,1e-06,0.846,3,1.7763627
TR KSchur,1.41058819216994,21,1.06402479042339e-07,19.5840124,102,2,4,8,2,1e-06,0.846,3,1.7763627
FDA subspace,-1,19,5.77829235278554e-07,7.3685557,22,2,4,8,1,1e-06,0.846,4,1.9198945
FDA subspace,-1,10,6.95500187971918e-07,3.9564881,22,2,4,8,2,1e-06,0.846,4,1.9198945
TR subspace,1.41058819216984,22,4.10577501137059e-07,8.3839927,25,2,4,8,1,1e-06,0.846,4,1.9198945
TR subspace,1.41058819216963,10,6.0457000655138e-07,3.9351897,22,2,4,8,2,1e-06,0.846,4,1.9198945
TR KSchur,1.41058819216994,13,5.10177291321861e-09,25.8826721,70,2,4,8,1,1e-06,0.846,4,1.9198945
TR KSchur,1.41058819216994,21,1.06402479042339e-07,19.6004573,102,2,4,8,2,1e-06,0.846,4,1.9198945
FDA subspace,-1,19,5.77829235278554e-07,7.3801645,22,2,4,8,1,1e-06,0.846,5,1.7835749
FDA subspace,-1,10,6.95500187971918e-07,3.9599997,22,2,4,8,2,1e-06,0.846,5,1.7835749
TR subspace,1.41058819216984,22,4.10577501137059e-07,8.3781706,25,2,4,8,1,1e-06,0.846,5,1.7835749
TR subspace,1.41058819216963,10,6.0457000655138e-07,3.9554608,22,2,4,8,2,1e-06,0.846,5,1.7835749
TR KSchur,1.41058819216994,13,5.10177291321861e-09,25.8477948,70,2,4,8,1,1e-06,0.846,5,1.7835749
TR KSchur,1.41058819216994,21,1.06402479042339e-07,19.5691986,102,2,4,8,2,1e-06,0.846,5,1.7835749
FDA subspace,-1,19,5.77829235278554e-07,7.3160549,22,2,4,8,1,1e-06,0.846,6,1.7034218
FDA subspace,-1,10,6.95500187971918e-07,3.9216623,22,2,4,8,2,1e-06,0.846,6,1.7034218
TR subspace,1.41058819216984,22,4.10577501137059e-07,8.3695758,25,2,4,8,1,1e-06,0.846,6,1.7034218
TR subspace,1.41058819216963,10,6.0457000655138e-07,3.9466099,22,2,4,8,2,1e-06,0.846,6,1.7034218
TR KSchur,1.41058819216994,13,5.10177291321861e-09,25.9002283,70,2,4,8,1,1e-06,0.846,6,1.7034218
