algo,rho,iters,res_norm,train_time,mv_mult,k,min_size,max_size,block_size,tol,accuracy,nfold,extra_time
FDA subspace,-1,19,6.30256482481168e-07,0.1563265,22,2,4,8,1,1e-06,0.844333333333333,1,14.7228566
FDA subspace,-1,10,5.62165111102853e-07,0.0907227,22,2,4,8,2,1e-06,0.844333333333333,1,14.7228566
TR subspace,1.42085233869073,21,8.13680042504785e-07,0.1551546,24,2,4,8,1,1e-06,0.844,1,14.7228566
TR subspace,1.42085233869093,10,5.89877627056883e-07,0.0860003,22,2,4,8,2,1e-06,0.844,1,14.7228566
TR KSchur,1.42085233869122,13,2.92181114038922e-09,0.4962927,70,2,4,8,1,1e-06,0.844,1,14.7228566
TR KSchur,1.42085233869121,21,1.07975203166037e-07,0.4430786,102,2,4,8,2,1e-06,0.844,1,14.7228566
FDA subspace,-1,19,7.13334114230166e-07,0.1384892,22,2,4,8,1,1e-06,0.846,2,13.9398658
FDA subspace,-1,10,5.35116873419701e-07,0.1382198,22,2,4,8,2,1e-06,0.846,2,13.9398658
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.150463,25,2,4,8,1,1e-06,0.846,2,13.9398658
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0798177,22,2,4,8,2,1e-06,0.846,2,13.9398658
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4441425,70,2,4,8,1,1e-06,0.846,2,13.9398658
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.393922,102,2,4,8,2,1e-06,0.846,2,13.9398658
FDA subspace,-1,19,7.13334114230166e-07,0.1386851,22,2,4,8,1,1e-06,0.846,3,14.3331436
FDA subspace,-1,10,5.35116873419701e-07,0.0796185,22,2,4,8,2,1e-06,0.846,3,14.3331436
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1633153,25,2,4,8,1,1e-06,0.846,3,14.3331436
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0836054,22,2,4,8,2,1e-06,0.846,3,14.3331436
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4491861,70,2,4,8,1,1e-06,0.846,3,14.3331436
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4041002,102,2,4,8,2,1e-06,0.846,3,14.3331436
FDA subspace,-1,19,7.13334114230166e-07,0.1399429,22,2,4,8,1,1e-06,0.846,4,14.8158767
FDA subspace,-1,10,5.35116873419701e-07,0.079094,22,2,4,8,2,1e-06,0.846,4,14.8158767
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.2265147,25,2,4,8,1,1e-06,0.846,4,14.8158767
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0794982,22,2,4,8,2,1e-06,0.846,4,14.8158767
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4471642,70,2,4,8,1,1e-06,0.846,4,14.8158767
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3984816,102,2,4,8,2,1e-06,0.846,4,14.8158767
FDA subspace,-1,19,7.13334114230166e-07,0.1344099,22,2,4,8,1,1e-06,0.846,5,14.1181197
FDA subspace,-1,10,5.35116873419701e-07,0.1069247,22,2,4,8,2,1e-06,0.846,5,14.1181197
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1503212,25,2,4,8,1,1e-06,0.846,5,14.1181197
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0829768,22,2,4,8,2,1e-06,0.846,5,14.1181197
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4371577,70,2,4,8,1,1e-06,0.846,5,14.1181197
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.411517,102,2,4,8,2,1e-06,0.846,5,14.1181197
FDA subspace,-1,19,7.13334114230166e-07,0.1328119,22,2,4,8,1,1e-06,0.846,6,14.0608859
FDA subspace,-1,10,5.35116873419701e-07,0.1026162,22,2,4,8,2,1e-06,0.846,6,14.0608859
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1505305,25,2,4,8,1,1e-06,0.846,6,14.0608859
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0794941,22,2,4,8,2,1e-06,0.846,6,14.0608859
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4332008,70,2,4,8,1,1e-06,0.846,6,14.0608859
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3987438,102,2,4,8,2,1e-06,0.846,6,14.0608859
FDA subspace,-1,19,7.13334114230166e-07,0.1766181,22,2,4,8,1,1e-06,0.846,7,14.6756199
FDA subspace,-1,10,5.35116873419701e-07,0.0833238,22,2,4,8,2,1e-06,0.846,7,14.6756199
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1510998,25,2,4,8,1,1e-06,0.846,7,14.6756199
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.087771,22,2,4,8,2,1e-06,0.846,7,14.6756199
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4390387,70,2,4,8,1,1e-06,0.846,7,14.6756199
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3810393,102,2,4,8,2,1e-06,0.846,7,14.6756199
FDA subspace,-1,19,7.13334114230166e-07,0.1502946,22,2,4,8,1,1e-06,0.846,8,14.2626513
FDA subspace,-1,10,5.35116873419701e-07,0.0828135,22,2,4,8,2,1e-06,0.846,8,14.2626513
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1551708,25,2,4,8,1,1e-06,0.846,8,14.2626513
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0806022,22,2,4,8,2,1e-06,0.846,8,14.2626513
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4465455,70,2,4,8,1,1e-06,0.846,8,14.2626513
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3975053,102,2,4,8,2,1e-06,0.846,8,14.2626513
FDA subspace,-1,19,7.13334114230166e-07,0.1467157,22,2,4,8,1,1e-06,0.846,9,14.2894315
FDA subspace,-1,10,5.35116873419701e-07,0.0789076,22,2,4,8,2,1e-06,0.846,9,14.2894315
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1555298,25,2,4,8,1,1e-06,0.846,9,14.2894315
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0865562,22,2,4,8,2,1e-06,0.846,9,14.2894315
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4323293,70,2,4,8,1,1e-06,0.846,9,14.2894315
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.3919379,102,2,4,8,2,1e-06,0.846,9,14.2894315
FDA subspace,-1,19,7.13334114230166e-07,0.1944023,22,2,4,8,1,1e-06,0.846,10,14.6745087
FDA subspace,-1,10,5.35116873419701e-07,0.0829351,22,2,4,8,2,1e-06,0.846,10,14.6745087
TR subspace,1.41058819216984,22,4.10577501342902e-07,0.1604414,25,2,4,8,1,1e-06,0.846,10,14.6745087
TR subspace,1.41058819216963,10,6.04570006389782e-07,0.0804087,22,2,4,8,2,1e-06,0.846,10,14.6745087
TR KSchur,1.41058819216994,13,5.1017729799398e-09,0.4402464,70,2,4,8,1,1e-06,0.846,10,14.6745087
TR KSchur,1.41058819216994,21,1.0640247893791e-07,0.4056569,102,2,4,8,2,1e-06,0.846,10,14.6745087
